MATCHKEY,BRNEW,BRAGE
16345246,5,20
13728016,19,19
14716776,0,46
14568809,2,33
13513749,3,68
4379593,7,74
10275319,29,77
10197359,30,76
11267572,28,118
3579391,74,103
4508533,62,112
2506427,32,108
3164164,82,102
15216012,2,145
13036260,23,148
13125635,22,141
10174386,29,126
10396757,18,164
5298129,28,193
10080303,28,181
11551471,25,177
10074073,28,162
2267305,24,222
16423316,4,253
16590276,3,3
16144771,6,6
14605586,15,15
14614613,15,17
14855253,13,13
13843968,13,19
14245730,16,17
14686124,12,23
13563474,20,20
11601472,24,24
17160359,0,27
15837017,1,46
14402425,16,32
13045710,11,46
14842344,13,37
13553431,16,31
11581041,25,25
12846482,22,42
13678011,40,40
5149450,35,45
16653298,3,70
13199388,8,73
13055746,11,67
14052341,11,51
12895830,13,51
12908226,19,64
14733903,14,53
15307377,11,67
5371670,24,64
100223349,1,96
100174012,1,91
3648546,2,78
13846680,9,84
13240488,13,80
14755998,13,83
14176948,13,82
14167535,11,91
14408578,11,97
2623999,24,92
3726570,43,84
3024048,84,92
4281963,46,89
3067476,45,96
2363549,91,92
3971845,67,98
14671140,8,124
15007706,12,123
13114325,21,107
4229525,63,108
5374886,35,125
4075577,33,139
13697131,6,184
13893412,12,152
14981462,12,199
14868776,13,153
1586954,42,167
100118520,104,195
11407849,2,221
10209643,218,218
15307791,11,110
10120593,2,86
16612363,3,153
13625862,20,20
5461181,6,116
16185718,6,13
16066202,6,22
11503476,5,195
13764646,15,19
5235748,14,54
14191185,17,129
2720470,18,141
1560609,87,246
16048953,1,7
15344022,11,11
13824579,19,35
14094814,18,28
14699501,13,46
5467548,34,46
10017889,32,38
16643498,1,69
13006052,3,67
13183992,4,68
5378902,8,70
14118824,18,57
13992290,14,59
14440239,10,69
11454466,26,68
13574558,20,50
4706300,53,74
16200383,4,89
5243902,5,84
16154484,5,88
13786050,19,93
11521167,25,98
4110595,72,79
1995495,79,96
16414122,3,112
2880210,3,104
100255445,1,117
12818548,8,124
16178661,5,105
13371837,5,115
1780907,17,116
13350214,21,123
3080242,43,123
13954746,1,142
16343885,5,148
1447849,26,140
11590181,21,142
14841205,4,158
13678152,6,167
2525747,5,161
13766407,15,168
5309025,12,155
14333243,16,169
1538046,142,188
3143303,59,182
12831275,1,235
16014081,2,247
14277382,8,210
13237425,22,215
4517687,62,244
15411514,10,254
1569480,27,299
100320806,1,402
16684689,3,3
16535084,1,4
16073437,4,22
16680993,2,12
14333643,3,17
15859848,8,8
16405614,5,5
16590728,6,7
13003093,8,23
13838369,19,19
13904001,19,19
13066709,14,23
14053274,16,23
13642199,14,23
15362374,10,14
13641100,20,20
13542519,20,20
16973344,2,36
16095485,6,29
14439099,16,34
10130018,19,31
14662948,15,40
15105312,12,39
13596380,10,47
11422518,19,32
11348690,26,28
10353219,28,46
11366378,27,27
10109630,31,31
13212061,1,66
11553401,10,59
14247048,15,66
11341394,18,72
100084677,14,67
4766739,37,51
4610887,45,67
4697299,46,63
4770855,45,60
4094826,35,72
14700596,4,84
11435048,2,90
14821202,0,93
3941700,9,88
3254969,6,84
4293454,5,81
14814486,7,94
13818498,14,76
13543315,13,75
2007947,14,96
10352326,22,95
11266459,28,78
13697199,20,83
11515918,25,93
3462026,80,87
4770995,30,84
5390326,35,99
100255370,1,108
13302226,4,104
16810783,2,116
16016904,7,115
14067608,18,116
13143187,14,110
14477233,16,102
14756565,12,108
4627086,17,105
4774612,25,104
3059907,84,102
4595587,74,111
1700461,101,108
11530756,15,127
1438286,11,138
5325551,21,137
1955726,72,131
100126262,31,140
4710313,48,144
4364894,8,157
4643285,13,188
15357948,10,163
2728386,12,155
4724384,23,161
11305343,24,168
11292352,1,214
14050307,7,219
16041104,7,202
13631548,9,235
13847344,19,201
13512518,10,202
15374483,11,217
4717374,53,211
11407749,1,256
4575218,58,254
13971590,6,334
5336351,36,305
16332482,5,15
15934507,5,8
5125582,2,43
11570250,8,51
14503847,3,109
5291975,10,162
10735088,10,221
17064945,1,21
13787328,19,19
13612918,4,63
14578086,15,77
5417896,30,131
16590625,3,3
14402241,9,22
10282698,9,121
10346620,24,107
1974228,57,134
10058848,23,223
14936711,2,38
5291492,28,136
10031292,30,43
4575374,11,79
1934395,26,101
10074732,24,126
17089458,1,249
14724411,14,24
2444656,4,265
5435642,30,158
11554654,8,26
17114292,1,93
5465863,8,97
3073563,5,269
15906876,7,10
14214543,11,19
14969737,3,66
11551275,11,69
5267271,21,72
13764957,19,90
10397026,17,94
13511521,1,140
1947743,31,125
100154618,1,191
13494457,10,164
13184040,22,163
10031133,7,234
14975760,8,20
13237723,11,22
14265646,11,17
13076099,22,22
13021354,2,31
14231200,17,33
4659714,1,65
14051504,18,60
16973142,2,82
10178144,11,91
15357135,11,87
10041706,24,95
100123579,33,84
3947427,35,79
2079446,46,99
14496435,15,111
14169939,12,122
15014040,12,121
10279077,29,106
1975634,79,109
16449042,2,125
13053494,16,141
11363179,25,126
10385067,28,131
1427263,51,138
14703965,5,150
14265209,10,157
4781632,44,157
16369370,2,230
11548018,7,208
2395466,23,219
11392754,23,244
15793089,5,260
3763667,20,272
100293322,1,11
15830615,4,20
17086060,1,15
15956672,3,15
16014109,7,7
16081935,6,18
14596634,8,21
14263223,8,17
16209812,5,6
13765621,19,19
13818729,19,19
14718175,14,14
14862045,11,21
14724660,14,14
11347765,3,27
100204993,1,25
14218549,3,37
10256921,9,44
16014897,7,47
13893874,9,27
16266729,5,27
11530435,7,40
13075947,9,38
13500963,9,33
14382261,9,27
11416952,8,38
11386960,14,38
10197142,15,33
14247472,17,38
11490056,15,26
13320557,17,31
11573652,25,49
100065278,24,44
12973970,20,32
5387268,35,35
5310338,36,44
10174472,30,30
13233946,3,71
15388423,5,70
100097303,8,69
10274233,5,65
13739695,7,70
12864566,18,58
4732814,31,65
17098344,1,87
2270057,2,93
14373694,3,78
15762756,8,83
3933030,6,97
14249316,17,89
10385099,13,87
5160484,18,98
13006656,23,80
3388791,48,98
5412225,35,88
3667472,56,87
2219405,93,93
4516960,34,92
2056785,95,95
16537762,3,100
16311410,3,108
16470463,3,102
13763646,4,118
2314964,2,122
11497113,6,104
11458827,6,124
14453406,13,100
10291469,19,110
13648739,20,106
10074004,23,105
10175872,22,123
4445023,46,106
2774059,63,103
14131398,5,135
100114196,5,149
14755484,14,149
1343107,56,135
16047927,3,150
4731896,4,181
3623300,1,159
14131804,11,152
13740796,12,154
13983273,10,163
13361776,20,195
2310146,6,211
10742769,9,245
16011157,7,225
13667394,5,215
14051813,18,210
14423855,10,238
11637838,17,228
13043675,16,206
15307415,2,338
10197211,5,305
16178677,2,6
5470202,34,55
14680006,3,100
4044173,7,103
13915562,15,110
16462997,4,213
14403888,13,84
17075678,1,131
13368939,8,147
11436400,26,131
5455141,34,234
4298206,20,279
14946826,3,43
16237592,6,29
2078855,84,102
3519505,41,117
3934655,8,143
11412945,7,227
11562556,22,281
11489782,10,26
13900227,16,80
4789438,18,84
11458152,2,33
10037057,12,134
5412723,11,57
14552529,15,30
4284679,3,200
5253166,9,102
3886249,22,129
10154349,9,235
13759879,1,276
16575088,2,12
14080332,15,32
14096656,2,207
5457093,34,38
13036823,2,86
5229866,2,115
10204049,10,195
12929793,4,71
10174428,1,50
5469030,8,58
10153162,30,69
10307206,12,96
11623903,24,91
3005255,42,85
3815012,16,118
1503556,18,162
11573667,25,162
10022814,32,173
16850293,2,14
13656982,7,21
10246181,18,37
16721185,3,91
17161409,1,81
16973169,2,76
3364417,4,92
15783986,7,79
3022400,6,86
3400524,7,91
13845343,17,98
5341456,36,83
3751157,30,80
5411608,1,102
13452449,21,116
4566710,21,100
16505216,4,138
11392412,2,140
15193793,3,133
14131931,18,140
10004896,17,146
14532683,15,127
2777898,27,132
10314921,6,181
11324353,10,156
10234842,3,214
100064664,8,220
14491941,15,258
3026644,49,269
17086807,1,426
11613931,24,494
16311986,3,5
17098504,1,21
16178459,5,6
15934315,7,10
16210733,5,12
14128984,9,20
13452691,6,21
15935044,7,10
15992140,7,10
13483896,19,21
13763906,19,20
13511209,13,20
16644413,3,30
16013099,7,26
13581044,9,43
13706890,6,34
14333352,17,25
13165692,11,29
14525191,15,46
11596386,13,26
14204400,17,46
11358735,22,27
10337654,29,29
11485164,26,26
11412870,20,26
11434568,25,39
10371551,28,47
10017606,32,44
15480536,3,74
5194789,6,51
10722777,9,51
4363332,11,68
10291611,14,73
11342220,16,69
10405333,23,73
11538648,25,72
11406763,26,50
10737053,28,63
10190116,22,63
4717515,29,53
3987167,74,74
4695081,42,74
4598591,57,73
16590721,3,91
16199836,4,82
15029056,1,77
10160004,0,79
17160221,1,94
14051407,7,89
16144491,6,80
2380086,7,92
11354138,9,99
3582000,7,84
4415747,12,78
13844472,19,76
14936675,12,80
13825643,19,85
13176268,18,88
14215071,16,91
13209801,18,81
4350248,11,81
15015589,12,85
5448781,25,85
5276481,37,91
100252763,1,108
13944972,9,109
4793871,9,121
14096081,18,104
13845735,19,124
13165359,22,111
10081273,24,122
11393321,26,119
1847546,81,105
2826302,44,106
1933137,51,114
16095340,6,147
14332242,6,133
11293258,8,138
16228446,5,127
15379875,11,125
13114243,22,135
5169364,26,149
5309320,36,138
10028834,32,145
3081520,35,135
17075932,1,158
13739731,8,158
14243837,9,165
11281773,19,170
15016037,12,170
11281270,27,154
5257551,3,247
5400822,2,237
16049273,5,224
14395363,16,272
14078888,12,273
13076430,5,458
11315040,27,421
13435759,4,27
2476225,6,91
11637551,9,98
1731986,58,108
13946697,18,155
13752808,18,218
4322933,29,228
16067166,5,6
11346059,3,27
5465324,3,59
13667396,6,70
4593920,15,67
12876860,13,75
11286678,18,107
14552712,13,139
12966686,23,128
100407970,0,160
2129537,59,253
4072122,65,137
14460316,16,153
13023305,23,23
10022595,25,32
4627128,30,64
11411516,12,87
4010530,29,83
15991465,2,227
3883942,77,222
16548181,4,4
5167439,10,105
1783340,2,128
13785570,1,157
1677380,7,380
11442433,24,142
100127180,33,115
10702174,27,405
15951404,4,149
17031994,2,161
16296827,3,162
4175715,1,71
5187351,10,65
14540839,2,90
3316742,3,83
2546987,11,92
1689993,26,101
14119939,5,125
11491973,26,175
16159882,6,256
14911759,8,13
12907499,5,34
14526079,15,34
14745704,1,56
14453841,16,66
4176451,15,71
14781636,2,99
14532440,15,99
14276563,17,86
100066772,10,94
11314479,12,82
10337185,29,84
11613123,24,83
2090178,25,99
13094063,22,94
13576908,2,115
11399267,8,116
2830998,10,112
3328120,16,115
4063558,23,107
4743888,52,109
16212558,6,140
10330917,22,172
5318513,0,284
14605525,15,257
14606467,2,24
13903287,1,19
16016544,7,8
14936409,9,21
14631879,4,26
10353266,28,28
11458822,26,30
10267061,24,29
5208274,4,52
13514271,18,59
13582106,13,56
10043201,32,72
13806788,4,80
4116625,2,82
14361398,2,82
13172651,1,77
15980608,7,78
15269876,12,91
14980150,12,95
3834563,58,77
2444213,74,91
4428375,67,96
12955985,3,118
11553148,8,100
14272602,17,105
3066162,24,103
1751287,98,113
1928786,48,113
4257397,2,139
14541436,15,126
11386835,20,148
16958823,2,178
13186209,12,187
3162895,16,155
13435606,18,164
14196980,17,167
13135600,22,163
5398208,9,235
11502135,10,212
10737468,10,203
4029450,19,201
17160425,1,267
13787112,10,94
13057420,23,87
3663918,25,83
14615858,2,118
11529643,21,36
11435933,26,46
100253000,1,149
15770636,3,18
13137145,22,134
1564964,141,148
4639255,7,165
15893233,6,179
1338454,43,250
3081435,3,106
4515414,62,147
16723786,3,27
10337210,29,126
13237688,21,47
14562813,15,32
14168906,5,144
2698477,50,394
4607726,12,226
15228026,12,12
14968959,12,40
12973420,5,76
5363457,6,101
3802206,11,129
5183602,39,127
13935650,14,24
14155371,9,30
14719367,10,39
12875509,24,47
5463656,34,63
12826386,7,91
2096517,16,95
14912120,13,89
10339823,29,92
13580736,3,106
14461318,1,121
10268122,1,114
5441632,11,119
11626009,24,119
10020247,4,126
13902681,19,146
14808537,2,159
14606062,15,198
4065639,25,157
14518841,15,213
13706510,7,270
11281919,6,566
16066441,4,6
13066654,2,33
13460270,4,35
13844964,8,27
11313422,11,37
13235728,16,30
13764874,18,30
14605128,15,31
14217677,17,28
13513718,20,39
13696599,8,57
13641719,15,51
5252051,24,71
4457345,20,69
3046042,3,99
10059885,5,96
4248856,19,81
2240122,28,93
3693303,30,78
3434461,78,90
2861672,85,86
11601118,3,107
16548005,4,109
13198500,5,102
2673425,6,110
5436131,20,113
10028478,26,100
2788889,4,137
11308236,9,129
11432187,5,125
14196643,17,147
10157821,25,134
15227063,1,155
15870999,7,166
13136090,10,188
10723174,2,231
100042109,15,331
5284473,14,61
4408146,4,92
14626693,3,137
3335319,9,356
5270993,3,94
3830918,17,102
16559349,1,154
1525288,86,169
16973969,2,21
14176415,17,18
5230036,13,41
13982985,1,45
4356415,57,74
2389276,4,281
13649418,3,140
5371915,0,82
5356724,15,67
14022014,10,216
5370219,20,70
1837975,11,425
3707832,1,85
10735223,6,113
14154696,3,18
16749198,3,15
10721302,13,32
11452216,16,57
14476724,11,74
3037293,32,94
13723740,7,109
13767738,19,120
14496708,2,131
11352269,9,147
14120339,18,147
13899535,3,175
16154164,6,152
10044869,7,158
4480631,10,157
13331509,21,228
12927855,1,345
4103013,29,363
100173157,1,13
16864585,2,23
17086598,1,14
14615187,2,30
15357227,1,25
11407336,14,40
13543023,19,27
13511910,20,31
10405116,28,45
5449713,34,34
11502471,4,51
16237577,3,59
14525710,5,68
10322062,29,56
5464105,20,52
16474924,4,93
14948973,2,90
16423868,4,85
3007007,5,85
12999017,19,82
1766128,23,98
11612533,24,87
3011790,23,89
4026538,21,76
4534895,37,83
4051746,66,86
14395093,15,116
11351248,27,110
10352076,2,142
16354061,5,129
4207130,5,137
1374470,6,130
2474973,17,127
13597835,20,145
10418974,28,133
13806281,9,151
5387045,29,162
10296510,22,177
14331880,17,243
10692524,4,275
14282962,17,143
16390298,5,84
10197744,17,118
4536760,12,102
3829259,3,148
12991481,6,286
14424864,1,107
13837988,19,160
11402447,12,26
4788613,11,115
10353278,26,102
12966395,2,375
5389687,15,35
11446962,16,82
100323156,1,153
100223499,1,165
15822139,7,60
13916645,9,124
15007775,12,135
15027780,4,120
14717865,13,58
11611098,2,86
3956910,1,82
16739459,3,106
13727808,2,141
4515625,2,174
11508737,13,44
2456557,3,91
13235020,11,95
100278073,1,124
13900425,19,114
14459939,16,138
3740545,52,232
14642200,11,27
100254681,1,73
5340806,3,55
13724300,6,99
1742021,12,98
5381913,26,88
14868088,12,123
13683353,1,130
4563573,16,170
15001193,11,215
14476662,1,19
11294282,7,50
5245591,5,62
16765864,2,14
16097178,5,63
5165232,32,100
16575242,3,208
10147491,17,76
11534075,11,152
11543281,9,33
3064326,23,165
14756363,6,100
10235057,6,140
15343983,8,41
14927993,13,50
5244071,15,62
2444608,1,91
13239771,15,79
4597871,57,77
4706091,20,101
14980408,12,201
5417840,3,96
3510502,17,92
14095868,10,103
11528632,8,144
10407529,28,158
12967822,12,236
14475764,16,16
14332039,2,27
5468018,4,34
14467067,3,34
11412272,6,34
10396848,21,42
3734503,30,90
15001981,6,117
13553707,20,171
14280294,6,212
14979597,12,239
3247896,14,91
3459630,1,83
14980371,1,148
5458406,13,250
10014616,4,69
14477461,3,143
1925959,23,129
3727750,51,212
14788030,3,47
10208959,2,51
100072184,24,51
11547544,4,98
10025385,32,89
14588044,15,102
15366722,7,147
11504155,16,154
14423935,1,249
13614798,3,31
13199335,11,36
15362129,8,57
10714458,9,66
11635288,10,65
15957370,3,109
3806770,11,100
1431876,28,115
2510507,49,110
12876502,2,129
2708199,1,128
4752083,6,139
14885550,13,173
3906107,41,153
11341091,4,206
4606598,12,79
4468828,2,115
5372175,11,138
4504714,12,160
3722535,13,78
12946557,8,111
14532919,7,51
16863854,49,355
4658661,23,200
14525676,4,75
14552548,1,127
3267611,81,145
3380958,7,337
