MATCHKEY,AGE,TRADES,RBAL
1385102,40,15,0
1390425,62,23,25946
1439834,43,32,8318
1442215,60,39,38094
1570044,43,23,33500
1587999,44,4,6359
1601066,75,22,1431
1613198,50,11,16152
1619718,87,13,2898
1656439,30,16,259
1676151,54,24,3900
1693846,48,20,6669
1716965,77,26,11116
1717918,43,18,420
1733965,57,15,6452
1757527,41,41,16893
1777111,41,28,13280
1781693,43,10,14473
1846795,,,
1867582,49,8,1362
1875334,,,
1889899,75,10,354
1910832,,,
1917014,,,
1926091,59,17,10298
1934886,71,22,8220
1937795,,,
1938651,28,32,15873
1952793,41,9,9999996
1981005,45,8,6657
2006295,55,14,3124
2030080,,,
2033455,50,33,4870
2033475,38,10,17917
2042112,55,32,5107
2059607,47,25,9081
2062578,43,37,25897
2080161,38,17,976
2083779,67,6,4541
2095351,35,9,0
2120491,68,20,12497
2128705,,,
2145026,43,8,0
2163352,59,25,672
2231879,43,17,851
2248719,46,10,9859
2256310,77,9,80
2310627,41,21,20794
2402741,49,12,4906
2436192,39,13,5454
2440063,56,25,20854
2459706,71,16,1333
2506207,57,17,2149
2531041,54,16,1535
2620267,29,12,0
2626593,,,
2658615,54,19,18711
2677937,,,
2679769,56,26,12607
2686983,34,19,18203
2700064,53,30,44
2757442,71,21,27523
2760568,67,24,5432
2778949,57,30,3084
2780434,99,1,0
2781341,30,25,5045
2782827,48,12,0
2831016,,,
2850849,25,23,16633
2922970,42,25,36165
2939592,41,32,14451
2968636,30,17,3613
2983180,39,39,11708
3021899,83,16,410
3056046,34,17,7018
3068808,50,14,2546
3073284,52,24,25593
3222843,34,19,16585
3265515,64,17,29500
3296800,,,
3302707,42,28,30674
3364911,35,24,21151
3373060,38,16,1046
3389282,37,24,5803
3398138,,,
3402736,46,16,7218
3444120,48,18,2700
3451614,26,17,8809
3491209,30,14,249
3543597,60,8,637
3546776,44,20,425
3547245,41,9,411
3572003,33,31,28966
3583332,43,12,6688
3639042,61,12,8573
3652525,46,40,40021
3672824,31,25,5173
3675706,27,12,1109
3685435,44,16,3352
3694251,51,10,7095
3716338,51,5,23693
3718557,26,17,10193
3765476,34,18,435
3798920,42,19,7857
3846109,66,18,17842
3856100,62,13,1056
3900525,61,25,1696
3908767,41,24,11483
3915417,46,34,18323
3933762,37,23,11218
3938576,,,
3943529,43,24,17335
3948418,28,19,18241
3951807,72,7,9999998
3961965,67,13,1640
3965022,53,9,3101
3994602,34,21,15414
4000994,38,23,19976
4020153,,,
4023192,30,15,2383
4024518,58,22,19354
4075592,35,43,55260
4075706,57,10,5188
4176275,28,7,13108
4190686,72,25,20819
4191476,65,19,1245
4202175,46,19,7214
4203449,32,12,23959
4219781,70,21,6688
4253768,56,31,30794
4265156,43,35,31952
4271112,45,18,2593
4292114,40,7,1211
4314035,41,26,5233
4314892,45,16,20361
4333176,56,13,7195
4394054,47,44,29933
4429303,,,
4462522,41,29,7908
4467971,86,9,14535
4473664,37,34,20406
4476027,46,16,6758
4481650,51,11,9297
4482385,49,11,2739
4482462,34,28,14101
4490560,43,14,17625
4493865,55,10,2749
4495520,63,10,1600
4510603,75,12,7938
4526189,42,15,794
4531011,33,23,15972
4531017,,,
4536897,,,
4542466,,,
4566512,35,34,3206
4567241,56,10,2113
4573901,,,
4577454,78,26,27142
4585250,40,24,9800
4587305,,,
4593149,38,43,18850
4600765,70,13,7620
4602587,49,17,5256
4623330,32,17,5179
4630439,62,17,17825
4633561,45,20,1068
4634401,44,22,4730
4646627,37,19,12001
4649121,47,13,9503
4655254,,,
4655493,58,32,16357
4657118,40,20,12176
4657483,48,10,12336
4658198,84,13,464
4676930,33,26,7553
4690118,60,18,38
4697334,75,26,2976
4705748,66,15,2297
4707557,68,12,9498
4709374,,,
4711761,66,23,3710
4728181,81,15,16599
4733915,,,
4755462,79,16,6392
4756534,66,12,790
4776343,,,
4784593,50,19,10679
4789994,45,16,516
4796116,47,21,5396
4800566,35,24,3051
5079431,74,14,9670
5089407,38,18,5196
5132951,41,19,0
5165298,38,26,17665
5169000,37,17,14891
5174981,80,22,5739
5175863,,,
5178812,65,20,14532
5188126,,,
5199423,54,13,6185
5209644,52,28,4051
5220052,23,28,5999
5227450,62,37,16646
5232843,51,20,7863
5259022,48,14,3254
5259854,56,13,10890
5266620,67,18,7502
5272985,51,32,5212
5275416,27,16,237
5282809,42,22,7242
5323892,99,5,1056
5325127,72,6,4946
5325177,37,11,186
5341892,,,
5356210,36,20,1766
5364296,46,19,14565
5364771,47,12,1204
5374231,59,24,9632
5388521,41,24,1762
5433935,47,14,3105
5438119,42,10,7352
5439846,47,6,7746
5456998,50,40,8799
5458341,49,28,15995
5463667,62,28,6787
5468598,66,28,9620
5470418,30,11,2421
10014707,60,19,8234
10017025,,,
10017696,33,2,1866
10041657,49,29,5848
10054290,66,28,19241
10106579,46,9,517
10106612,67,26,2607
10122078,26,16,59
10122240,46,23,3486
10122554,34,34,32323
10123264,43,19,13877
10123281,45,13,4652
10130612,56,11,1435
10131217,52,10,2498
10137604,,,
10142014,50,23,11719
10142728,52,17,8723
10142926,46,28,5457
10148335,58,9,15471
10148382,52,12,4122
10148623,42,23,10729
10169804,75,26,19012
10171194,64,33,23030
10172676,43,30,6142
10173006,57,16,14662
10176374,42,18,6109
10196357,57,12,4480
10196691,54,11,9999996
10197169,59,4,2578
10198931,31,10,1729
10207062,53,2,3164
10209598,56,29,54
10210666,71,33,13035
10219047,45,11,24742
10219554,41,15,2745
10220985,43,15,4278
10228188,73,17,748
10228231,54,50,5140
10228527,53,23,6667
10234015,40,19,5219
10244520,43,21,153
10257809,44,16,20700
10264220,76,7,1750
10268302,,,
10275077,53,21,1214
10275216,28,26,13062
10278566,82,28,51371
10298926,65,22,5695
10307607,53,19,2532
10314038,32,8,340
10321943,,,
10322336,43,12,14167
10322690,49,15,7419
10330261,50,28,715
10338392,61,8,25
10338480,52,9,6921
10357440,65,18,4241
10357539,,,
10363218,40,15,5286
10391057,63,9,1694
10391363,51,7,1176
10396028,26,20,2921
10404620,69,37,15981
10407257,70,17,9296
10407426,,,
10419017,35,14,0
10501572,47,19,7047
10692253,,,
10702636,52,22,2696
10703417,41,1,9999997
10722296,51,13,4485
10739261,56,31,62383
10742990,80,17,819
10743860,34,10,0
11273324,54,40,18263
11281496,,,
11286339,26,16,7074
11287334,80,22,10365
11294862,56,34,4031
11298852,77,20,7812
11304175,80,20,5680
11304336,71,18,11145
11304886,74,8,5001
11314730,53,18,0
11324442,62,6,794
11324769,45,19,10889
11325567,21,13,1367
11337712,67,38,33967
11338705,,,
11341117,56,12,1762
11342462,35,44,13104
11342665,45,19,14487
11345171,66,34,1483
11347700,56,19,23699
11348656,47,24,3825
11349309,56,40,3
11350016,57,18,15652
11352397,25,12,7313
11353886,51,10,2362
11362645,29,23,14095
11367054,44,26,2131
11383165,51,21,363
11383341,43,10,32
11383625,56,15,5724
11386438,48,38,6052
11392343,,,
11392798,34,20,4634
11392825,60,6,723
11393133,62,27,4495
11401218,37,37,21967
11401397,57,13,2800
11410858,30,15,1572
11411896,30,9,0
11415753,66,17,13003
11423155,31,41,11428
11423518,54,4,2393
11423821,51,39,2764
11429948,53,16,4543
11433170,55,8,379
11433183,84,36,15035
11433378,,,
11433600,,,
11434144,56,11,3527
11443153,,,
11443349,,,
11452355,43,7,0
11452550,,,
11469132,23,20,18802
11479745,59,2,187
11486800,73,45,7180
11488831,47,7,2207
11492883,48,12,9234
11498362,50,21,5179
11499457,36,15,4375
11503254,67,28,16004
11504180,46,27,5641
11506419,45,23,3119
11508332,35,19,11339
11512747,44,42,11225
11518539,74,22,16437
11518543,62,27,0
11523206,,,
11523554,49,6,1667
11529291,38,5,0
11530721,78,10,13792
11531193,26,6,52
11539461,48,4,2006
11551035,35,21,3468
11555002,34,11,3960
11562339,53,19,14575
11562463,68,31,19180
11570246,46,17,22313
11570571,63,16,21765
11580486,,,
11589053,62,14,8911
11591822,88,28,7087
11596114,29,3,7401
11611687,57,13,17354
11612763,37,24,20635
11615364,40,10,1185
11621380,54,35,8400
11624961,29,30,23101
11633948,46,12,2805
11638755,43,14,6522
12818713,42,22,8382
12825536,42,11,9183
12826501,46,17,1458
12829766,44,54,12170
12840416,70,13,966
12846079,25,11,1494
12846317,62,9,3081
12852844,33,17,2262
12854549,37,14,2244
12861839,54,13,0
12864226,68,14,530
12875862,40,9,815
12876973,45,29,5668
12894650,67,7,3555
12917815,47,20,343
12918823,45,23,3992
12919108,30,9,2676
12926154,62,14,20582
12926831,37,10,3170
12927085,61,26,17499
12929511,43,15,7563
12931049,42,34,3806
12939590,59,31,2467
12943534,47,26,27834
12944688,47,17,2588
12944926,48,12,18733
12945527,52,28,10744
12954540,37,18,6721
12954890,23,19,8876
12963497,35,34,25477
12965775,66,2,9999998
12967094,56,19,6133
12972679,62,13,3423
12973056,,,
12973451,29,4,54
12973942,57,17,3436
12975156,,,
12983675,99,5,0
12994419,67,33,54633
13002403,49,26,4962
13005406,39,10,7334
13015720,34,44,15640
13019409,27,13,0
13020576,33,7,5730
13022476,21,14,20149
13030999,49,21,6432
13044774,53,8,28
13048543,27,12,6343
13053972,64,27,5456
13064602,52,29,15009
13066740,52,14,44
13075908,76,15,5725
13078108,53,25,6605
13091551,53,14,4421
13095667,46,16,8652
13104858,52,20,11805
13105721,34,19,3800
13107197,54,18,5864
13108979,26,18,3918
13114417,71,12,6222
13123533,60,14,15633
13124281,46,15,394
13124451,,,
13125173,56,11,5006
13125556,49,9,0
13137658,44,30,6140
13138524,66,30,4344
13138870,41,9,0
13143106,38,48,10568
13145887,24,11,1069
13151933,64,18,7167
13152082,50,13,5167
13152631,35,12,1627
13159179,43,19,4527
13170678,42,24,10086
13171074,,,
13185183,38,13,5553
13223730,28,11,595
13238501,45,30,5212
13239782,65,32,8801
13292533,31,17,8397
13331667,34,15,434
13333660,53,8,2196
13333853,61,23,7858
13349079,28,4,0
13350910,47,21,10517
13361897,37,21,0
13363707,69,8,308
13368848,25,9,2415
13368851,,,
13369363,20,11,3485
13369456,57,33,10440
13370306,34,10,46
13371692,41,34,565
13372797,24,10,875
13414954,49,5,5079
13415185,51,8,5179
13415610,33,18,1947
13416340,26,11,1089
13416900,57,22,6097
13447537,64,17,1936
13453523,45,16,2478
13459788,58,7,568
13481834,60,32,12823
13482999,54,14,5701
13496328,,,
13496511,40,19,2359
13498561,41,22,5693
13499567,60,26,4653
13510751,49,11,796
13513047,,,
13536546,34,6,9999996
13564692,21,3,10
13573571,69,28,9440
13574295,77,10,7589
13574739,59,32,31674
13597017,42,16,4417
13604550,36,20,0
13605333,51,4,864
13614733,32,19,2591
13626854,26,16,1797
13639404,48,4,93
13649595,31,21,4099
13655574,68,27,1264
13657302,60,56,9352
13668935,50,24,2859
13681842,39,8,2166
13682674,42,21,0
13684032,50,31,2523
13693474,29,10,7639
13694123,23,17,8322
13695533,,,
13704023,40,14,5772
13704921,69,20,188
13704969,22,9,8116
13706709,41,11,597
13707187,65,12,7114
13722948,45,14,2243
13727151,52,14,4001
13727873,21,21,770
13739519,25,9,9759
13752245,57,18,1277
13752379,48,9,704
13752795,48,19,7108
13762436,29,21,2679
13762750,53,41,1828
13763510,20,8,206
13766002,37,7,283
13767398,43,14,19242
13785389,37,16,2110
13786062,,,
13804405,60,22,11600
13805486,58,32,21786
13806469,88,17,1381
13824396,58,33,2004
13824962,44,29,22115
13825900,,,
13843956,50,2,4098
13853679,35,13,3227
13856233,41,11,5495
13865572,65,37,198
13866338,77,11,3069
13867655,,,
13868089,73,31,5647
13880805,40,10,978
13882357,,,
13883584,65,23,0
13892542,74,18,5
13892983,39,7,1906
13893861,57,19,34804
13900147,25,20,20537
13902131,35,27,17475
13925871,37,3,0
13927374,52,32,846
13934933,46,22,719
13936376,,,
13946378,77,32,10759
13955108,33,32,26492
13960794,53,25,400
13991769,40,13,1754
13992475,37,19,620
14008964,51,8,3101
14021092,45,34,3214
14021492,45,5,7319
14022830,65,6,425
14049828,51,8,1162
14050214,27,19,1808
14078655,99,1,9999998
14088738,31,15,6217
14093514,,,
14094610,58,34,19415
14096641,92,17,3104
14116514,52,21,13834
14118002,,,
14120919,,,
14129277,60,33,3795
14130681,23,6,259
14131049,55,3,2681
14136478,,,
14137811,46,17,12791
14146443,,,
14148420,69,21,3155
14148427,,,
14157268,50,33,3459
14167749,66,13,1237
14167893,33,20,1166
14169873,38,28,388
14181995,50,9,2309
14182184,48,46,91447
14182737,46,10,5329
14196378,40,6,2892
14197092,23,7,3065
14197674,26,17,2601
14204830,,,
14204940,20,4,0
14206163,37,17,3969
14213741,52,3,1645
14215458,52,42,12236
14217918,40,26,6940
14220085,62,12,3996
14221000,49,13,5019
14221468,25,10,3443
14231630,71,12,9999996
14246935,49,15,14083
14248959,41,9,1550
14262813,,,
14263709,48,23,1762
14264572,64,31,5526
14272419,,,
14273015,36,5,2844
14275486,61,28,2518
14275675,,,
14276269,33,17,1434
14278293,52,16,923
14279718,,,
14279866,37,19,17925
14283104,43,3,876
14298675,50,24,21431
14316936,99,2,0
14330728,68,23,6593
14332607,66,32,11808
14333872,22,9,2742
14341854,,,
14342021,,,
14342033,56,6,2386
14346405,57,37,1434
14346955,75,36,5212
14347071,,,
14348280,46,23,7701
14354434,67,19,699
14361487,52,10,2006
14382067,63,20,8302
14394950,64,21,5285
14395327,29,9,2172
14395444,34,9,0
14406766,52,45,4487
14407981,41,40,19853
14412414,61,44,39685
14414372,57,11,1998
14424280,43,10,7202
14438037,30,14,3671
14438804,40,12,787
14439553,45,12,385
14439629,51,9,3706
14446379,38,11,12504
14455965,40,17,18034
14460010,53,12,6557
14461724,26,14,47
14472462,41,10,1133
14500316,32,5,577
14500428,67,22,0
14503476,21,10,579
14508186,24,14,2196
14519160,,,
14519277,60,14,3266
14524548,30,18,1732
14542031,29,23,7571
14551431,33,23,1198
14552588,,,
14562921,79,25,14101
14596456,45,29,28062
14604892,60,9,211
14605021,23,8,1274
14606681,33,10,4360
14614923,72,37,7466
14627222,32,6,5521
14641656,58,11,1640
14642329,28,3,83
14642549,28,10,75
14657503,34,19,3416
14686234,41,37,9350
14703490,,,
14717082,74,25,85
14717888,57,10,928
14732659,23,17,4951
14742126,58,26,8743
14745584,72,38,359
14771107,38,26,8737
14776011,33,17,3403
14776161,78,19,760
14808815,23,7,5738
14812854,62,22,1268
14813651,27,3,6190
14813925,57,7,2337
14814094,,,
14814357,86,14,4059
14821120,,,
14821545,52,12,901
14840733,37,4,3197
14841196,24,9,4344
14861461,38,33,14974
14861643,64,14,7488
14867730,80,21,6359
14884068,60,9,7702
14884672,21,11,3913
14884905,41,40,29175
14884955,50,24,1339
14898261,76,18,16
14898924,80,37,3749
14911902,33,13,8031
14912469,53,11,2468
14927618,30,14,25660
14949086,44,15,125
14960525,31,24,9902
14960588,63,17,1075
14969805,,,
14980946,,,
14981297,,,
14985736,48,19,2025
15000508,51,28,3907
15014542,65,34,2395
15027813,25,21,630
15028903,50,33,9000
15029326,56,24,11580
15104571,32,28,12183
15193496,41,8,3356
15216335,,,
15241777,72,23,9680
15250113,35,2,0
15276058,40,13,9302
15294847,34,3,1625
15295312,40,7,514
15344662,56,15,8651
15361672,66,10,484
15366640,54,29,4274
15374702,36,14,5308
15379426,,,
15429728,22,15,4643
15498401,41,14,254
15557375,49,26,26230
15577379,99,5,120
15770682,53,8,7978
15785456,53,12,7843
15793427,36,21,7417
15819105,53,19,11813
15820857,44,13,1139
15830613,79,4,633
15843126,33,7,2493
15851875,72,13,4018
15871107,31,10,798
15871270,60,44,10325
15907109,66,13,4147
15923451,29,9,4856
15945299,35,46,24770
15951740,32,7,3351
15956530,19,13,3854
15957189,56,7,2454
15993714,42,29,21916
16011362,60,10,3138
16012357,76,23,7420
16016645,31,14,1837
16023510,29,12,0
16026565,40,12,8944
16046077,22,12,1938
16047354,37,9,1026
16066035,46,7,1883
16081039,58,17,6481
16122866,40,9,1635
16122885,52,27,3286
16145471,55,7,8458
16146274,,,
16170307,63,23,377
16170760,41,11,3911
16191074,,,
16213327,74,13,0
16218627,35,8,5007
16218907,37,5,1216
16237588,81,28,6810
16246576,64,15,2179
16311447,58,19,9401
16335193,40,27,7204
16344252,43,28,10802
16346376,58,32,11063
16351505,50,17,1826
16351713,20,6,4993
16353408,47,26,15651
16353712,72,39,0
16374926,54,3,276
16383985,54,20,1937
16408467,77,25,7513
16414366,49,16,3994
16415849,43,19,194
16419607,35,11,1461
16423370,73,18,622
16438181,67,25,2455
16470672,65,23,15548
16470908,55,16,1271
16482341,40,28,4941
16503061,43,15,576
16503228,40,20,1404
16505277,65,19,1804
16505419,49,13,405
16512424,28,2,268
16512934,58,5,2088
16517526,20,20,6268
16535396,30,5,547
16559186,29,12,1924
16566879,27,4,5049
16575431,64,19,3487
16591636,25,6,1421
16601644,62,14,311
16611645,52,37,1804
16612848,82,33,4636
16643177,69,4,499
16652748,39,28,4520
16653280,67,15,522
16654337,54,24,9229
16681521,56,7,0
16739414,54,4,57
16749532,71,31,0
16765872,33,17,1967
16769862,57,29,17947
16769923,26,10,1067
16782439,41,25,10690
16798048,62,37,7656
16801706,43,10,1772
16813485,49,23,2815
16813494,43,27,3440
16853487,53,20,18167
16874941,59,6,2927
16875399,52,27,13143
16877365,37,18,465
16939970,63,11,1592
16974049,35,5,3092
16974517,46,14,1702
17032331,53,11,1026
17032548,66,6,4248
17035475,32,28,4922
17037000,52,31,6158
17075627,41,11,551
17075813,68,27,36295
17076495,54,25,679
17086442,,,
17098595,26,32,1506
17099650,24,10,53
17114542,34,28,3288
17150446,35,16,858
17150671,60,39,95
17160376,31,6,1445
100062144,28,20,7020
100081591,58,15,7553
100084885,69,12,3910
100086552,27,11,7518
100087058,40,33,66100
100091503,70,22,6345
100103370,53,32,6238
100109407,,,
100110428,71,15,8074
100114735,85,30,5021
100155711,40,9,4794
100173026,52,10,3440
100173670,27,99,9999999
100174002,63,23,15280
100223444,82,12,1042
100224563,43,20,6406
100252408,59,21,21026
100252726,69,42,27450
100278655,54,5,0
100320926,52,26,8136
100348516,66,11,5088
100408701,58,6,1387
100426013,,,
100456396,,,
100456959,,,
100478924,,,
100479667,,,
100495739,,,
100519973,,,
100520382,,,
100522109,,,
100522165,,,
100582532,,,
100599556,,,
100599909,,,
100616368,,,
100617604,,,
100671827,,,
100757450,,,
100758490,,,
100758960,,,
100759857,,,
100760492,,,
100779988,,,
100780242,,,
100823260,,,
100824214,,,
100852079,,,
100876501,,,
100894586,,,
100971553,,,
100971728,,,
100974017,,,
100974093,,,
101016099,,,
101016802,,,
101031753,,,
101090723,,,
101092122,,,
101115944,,,
101116383,,,
101132577,,,
101133862,,,
101154047,,,
101172561,,,
101173353,,,
101173757,,,
101212916,,,
101249442,,,
101249473,,,
101249526,,,
101275582,,,
101276294,,,
101295153,,,
101308522,,,
101360464,,,
101452829,,,
101488740,,,
101530336,,,
101530391,,,
101542965,,,
101544313,,,
101565826,,,
101566302,,,
101595778,,,
101616016,,,
101620248,,,
101620608,,,
101624097,,,
101628920,,,
101666246,,,
101710272,,,
101715278,,,
101726202,,,
101741549,,,
101745126,,,
101745505,,,
101771686,,,
101771824,,,
101786368,,,
101786441,,,
101787116,,,
101789039,,,
101791982,,,
101815723,,,
101828734,,,
101840289,,,
101855246,,,
101859679,,,
101859779,,,
101860379,,,
101872541,,,
101884808,,,
101886518,,,
101891552,,,
101908342,,,
101929382,,,
101929810,,,
101939086,,,
101939258,,,
101942069,,,
101945354,,,
101955925,,,
101956201,,,
101959873,,,
101968538,,,
101974389,,,
101991697,,,
102016838,,,
102016849,,,
102032487,,,
102039594,,,
102042981,,,
102061461,,,
102065339,,,
102065435,,,
102065789,,,
102070885,,,
102077392,,,
102088785,,,
102088930,,,
102120027,,,
102138003,,,
102180626,,,
102228488,,,
102240295,,,
102321215,,,
102400297,,,
102456541,,,
102467565,,,
